date,location,gndr,age,employ,student,efl,income,kindphone,agephone,chngphone,provider,attitudepro,frequse,whotext,games,music,socialmed,famuse,phonehelp,buysmt,nobuynw,personalinfo,shop,bank,govform,QU,,
,,0,1,1,1,0,3,0,0,0,4,2,1,0,1,1,1,1,4,0,0,1,0,1,0,,,
7/20-7/27,Harlem,0,1,1,2,0,3,0,0,0,4,2,1,0,1,1,1,1,4,0,0,1,1,0,1,,,
7/18/14,Harlem,0,1,0,2,0,3,0,0,0,4,1,1,0,0,1,1,1,4,0,0,1,0,1,1,,,
7/18/14,Houston street,0,1,1,2,0,3,0,0,1,4,1,2,0,1,1,1,1,4,0,0,1,0,1,0,,,
7/18/14,Houston street,0,2,1,2,0,3,0,0,1,4,1,0,0,1,1,1,1,4,0,0,1,1,1,1,,,
7/18/14,Central Park,1,3,0,2,0,3,1,5,1,2,0,1,0,1,1,1,1,1,1,2,0,0,0,0,,,
8/4/14,Harlem,1,4,3,2,1,3,1,4,1,3,0,2,0,1,1,1,1,0,1,2,1,1,1,1,,,
8/6/14,Welfare center,1,3,0,2,0,3,0,2,1,4,1,2,0,1,1,1,1,4,1,1,0,1,0,1,,,
8/4/14,Harlem,1,3,0,2,0,3,1,1,1,2,1,2,0,1,1,1,1,,1,1,1,0,0,1,,,
,Harlem,1,3,0,2,0,3,0,0,1,4,1,1,0,1,1,1,1,4,1,2,0,0,0,0,,,
7/22/14,SoBro (Simpson/196),1,3,3,2,0,3,1,0,1,3,0,1,0,1,1,1,1,0,1,1,1,0,1,1,,,
,,0,0,1,2,0,4,0,1,1,4,1,0,0,1,1,1,1,0,0,,1,1,1,1,,,
7/23/14,Bronx Zoo,0,0,2,2,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,,,
7/25/14,Central Park,0,0,2,2,0,0,1,0,0,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,,,
8/4/14,Harlem,0,0,4,0,1,0,0,,1,4,1,1,1,1,1,0,0,0,1,2,1,1,1,1,,,
,,0,2,2,1,0,1,1,3,1,5,0,0,1,0,0,0,0,,0,2,1,0,1,1,,,
7/30/14,Flatbush Ave,0,3,1,2,0,1,1,3,1,2,1,1,1,1,1,1,0,1,1,2,1,0,1,1,,,
7/22/14,SoBro (Simpson/196),0,2,1,2,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,,,
8/2/14,SoBro (personal party),0,1,0,2,0,1,1,0,0,5,2,0,1,0,0,0,0,0,0,3,1,1,1,1,,,
8/2/14,SoBro (personal party),0,2,1,2,1,1,1,0,0,3,0,0,1,0,0,0,0,1,0,2,0,0,0,0,,,
,Harlem,1,2,2,2,1,1,0,4,1,4,0,1,1,1,1,1,0,4,0,3,1,0,1,1,,,
8/5/14,Dwtn Bklyn (Fulton Mall),1,3,2,2,0,1,1,4,1,5,2,1,1,1,1,1,0,1,1,0,0,0,0,0,,,
7/31/14,Park Slope (Sunset park market),1,3,3,2,0,1,1,4,1,2,0,1,1,1,1,1,0,1,1,0,0,1,1,0,,,
7/20/14,East NY (Gateway Mall),1,1,0,2,0,1,1,2,1,3,0,0,1,0,0,0,0,3,0,3,1,1,1,1,,,
41852,Willamsburg Welfare Center,1,2,2,2,0,1,1,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,,,
7/22/14,SoBro (Simpson/196),1,1,0,2,0,1,1,1,1,3,,0,1,0,0,0,0,1,1,0,1,0,1,1,,,
7/18/14,Houston street,1,2,2,2,0,1,0,0,0,4,1,1,1,1,1,1,0,4,0,0,1,0,0,0,,,
8/2/14,SoBro (personal party),0,2,0,2,0,2,0,3,1,5,1,0,1,0,0,0,0,3,0,0,0,0,0,0,,,
8/3/14,Harlem,0,2,0,2,0,2,1,2,1,5,0,0,1,0,0,0,0,0,0,4,1,1,1,1,,,
7/20/14,East NY (Gateway Mall),0,1,0,2,0,2,1,1,0,2,0,0,1,0,0,0,0,3,0,2,1,0,1,1,,,
7/23/14,Bronx Zoo,1,0,4,0,1,2,1,1,1,1,1,1,1,1,1,1,0,2,0,2,1,1,0,1,,,
8/3/14,Harlem,1,2,0,2,1,2,1,1,1,6,0,0,1,0,0,0,0,0,0,2,1,1,1,1,,,
41857,Bronx Zoo,1,3,0,2,0,2,1,1,1,5,0,1,1,0,0,0,0,4,1,2,1,1,1,1,,,
7/20/14,East NY (Gateway Mall),1,1,1,2,0,2,1,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,,,
8/2/14,SoBro (personal party),0,2,0,2,0,3,1,1,1,1,1,0,1,0,0,0,0,4,0,4,0,0,0,0,,,
7/20-7/27,Harlem,0,0,2,2,0,3,0,0,0,4,2,1,1,1,1,1,0,4,0,0,1,1,1,1,,,
7/20/14,East NY (Gateway Mall),1,2,0,2,0,3,1,2,1,3,0,0,1,0,0,0,0,3,0,3,0,0,0,0,,,
8/3/14,Harlem,1,2,0,2,1,3,1,1,1,1,1,1,1,0,0,0,0,3,0,4,0,0,0,0,,,
8/6/14,Welfare center,0,0,2,2,0,0,0,3,1,3,0,0,1,0,0,0,1,4,1,2,1,1,1,1,,,
7/22/14,Bergen Welfare Office,0,2,2,2,0,0,1,2,1,4,1,1,1,0,1,1,1,1,1,2,1,1,1,1,,,
41852,Willamsburg Welfare Center,0,2,2,2,0,0,0,2,1,4,1,1,1,1,1,1,1,4,0,0,1,1,1,1,,,
7/25/14,Central Park,0,2,2,2,0,0,0,1,1,4,1,0,1,1,1,0,1,1,0,3,1,1,1,1,,,
7/27/14,NYCHA,0,0,4,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,4,1,1,1,1,,,
8/4/14,Harlem,0,2,1,1,0,0,0,0,0,4,1,0,1,1,1,0,1,1,0,0,0,0,0,1,,,
7/25/14,Central Park,0,0,2,2,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,,,
7/26/14,NYCHA,0,0,0,2,0,0,0,0,0,4,1,0,1,1,1,0,1,1,0,0,1,1,1,1,,,
7/25/14,Central Park,0,1,1,2,0,0,0,0,0,4,1,1,1,1,1,1,1,4,0,3,1,1,1,1,,,
7/25/14,Central Park,0,1,2,2,0,0,1,0,0,0,1,1,1,0,0,0,1,3,0,0,1,1,1,1,,,
7/26/14,NYCHA,0,1,1,2,0,0,0,0,0,4,1,1,1,1,1,1,1,4,0,0,1,0,1,1,,,
7/25/14,Central Park,0,2,1,2,0,0,0,0,0,4,1,1,1,1,1,0,1,1,0,0,1,1,1,1,,,
8/6/14,Welfare center,1,0,4,0,0,0,1,1,1,2,0,0,1,0,0,0,1,0,0,0,1,0,1,1,,,
7/25/14,Central Park,1,1,2,2,0,0,0,1,1,4,1,0,1,1,1,1,1,1,0,0,1,1,1,1,,,
7/25/17,Central Park,1,1,2,2,0,0,1,1,1,3,0,1,1,0,0,0,1,1,0,3,1,0,1,1,,,
7/22/14,Bergen Welfare Office,1,2,2,2,0,0,0,1,0,4,2,0,1,1,1,1,1,4,0,0,1,0,1,1,,,
8/6/14,Welfare center,1,0,1,0,0,0,0,0,0,4,1,1,1,1,1,0,1,4,0,0,1,1,1,1,,,
7/27/14,NYCHA,1,0,2,2,0,0,0,0,0,4,1,1,1,1,1,0,1,1,0,0,1,1,1,1,,,
7/27/14,NYCHA,1,1,2,2,0,0,0,0,0,4,1,1,1,1,1,1,1,1,0,3,1,1,1,1,,,
8/8/14,Marine Park (King’s Plaza),0,2,1,2,1,1,1,4,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,,,
7/27/14,NYCHA,0,2,1,2,0,1,1,4,1,1,0,0,1,1,0,0,1,1,1,2,0,0,0,1,,,
7/30/14,Flatbush Ave,0,2,1,2,0,1,1,3,1,3,1,1,1,1,1,1,1,3,1,0,1,0,1,0,,,
8/4/14,Harlem,0,0,4,0,1,1,0,1,1,4,2,1,1,1,1,1,1,1,0,0,1,1,1,1,,,
8/4/14,Harlem,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,,,
7/26/14,NYCHA,0,1,1,2,0,1,0,1,1,4,1,1,1,1,1,0,1,1,0,3,1,1,1,1,,,
7/26/14,NYCHA,0,2,1,2,0,1,1,1,1,6,1,0,1,0,0,0,1,3,0,3,1,0,0,1,,,
7/22/14,SoBro (Simpson/196),0,2,1,2,0,1,1,1,1,3,0,0,1,1,0,1,1,1,0,1,1,0,1,1,,,
7/27/14,NYCHA,0,0,2,2,0,1,0,0,0,4,1,0,1,1,1,1,1,,0,0,1,1,1,1,,,
7/18/14,Houston street,0,1,1,2,0,1,0,0,1,4,1,2,1,1,1,1,1,4,0,0,1,0,0,0,,,
7/27/14,NYCHA,0,1,1,2,0,1,0,0,0,4,1,0,1,1,1,0,1,1,0,3,1,0,1,1,,,
8/6/14,Welfare center,0,1,1,2,0,1,0,0,0,4,1,1,1,1,1,1,1,,0,3,1,1,1,1,,,
8/2/14,SoBro (personal party),0,2,0,2,0,1,1,0,0,0,1,0,1,0,0,0,1,4,0,0,0,0,0,0,,,
7/18/14,Central Park,1,3,1,2,0,1,1,10,1,0,1,1,1,1,0,1,1,4,1,2,1,1,1,1,,,
7/31/14,Park Slope (Sunset park market),1,2,1,2,0,1,1,5,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,,,
8/8/14,Marine Park (King’s Plaza),1,3,2,2,0,1,1,5,1,5,1,0,1,1,1,1,1,1,1,2,0,1,1,1,,,
8/2/14,Bedford Ave,1,4,3,2,0,1,1,4,1,2,0,1,1,1,1,1,1,3,1,1,1,1,1,1,,,
8/8/14,Marine Park (King’s Plaza),1,4,3,2,0,1,1,4,1,1,1,2,1,1,1,1,1,0,1,1,0,0,1,0,,,
8/2/14,Bedford Ave,1,2,1,2,0,1,1,3,1,5,1,1,1,1,1,1,1,0,1,0,1,0,1,0,,,
8/8/14,Marine Park (King’s Plaza),1,3,1,2,1,1,1,3,1,5,1,1,1,1,1,1,1,1,1,2,0,0,1,0,,,
